,player names,match,scores,sixes
0,RD Gaikwad,16,635,23
1,F du Plessis,16,633,23
2,KL Rahul,13,626,30
3,S Dhawan,16,587,16
4,GJ Maxwell,15,513,21
5,SV Samson,14,484,17
6,PP Shaw,15,479,18
7,Shubman Gill,17,478,12
8,MA Agarwal,12,441,18
9,RR Pant,16,419,10
10,D Padikkal,14,411,14
11,V Kohli,15,405,9
12,RA Tripathi,17,397,11
13,N Rana,17,383,17
14,RG Sharma,13,381,14
15,VR Iyer,10,370,14
16,MM Ali,15,357,19
17,SA Yadav,14,317,10
18,AB de Villiers,15,313,16
19,Q de Kock,11,297,7
20,MK Pandey,8,292,10
21,KS Williamson,10,266,2
22,AT Rayudu,16,257,17
23,JC Buttler,7,254,13
24,YBK Jaiswal,10,249,10
25,JM Bairstow,7,248,15
26,KA Pollard,14,245,16
27,SO Hetmyer,14,242,12
28,Ishan Kishan,10,241,10
29,S Dube,9,230,10
30,RA Jadeja,16,227,9
31,KD Karthik,17,223,7
32,DA Warner,8,195,6
33,CH Gayle,10,193,8
34,KS Bharat,8,191,8
35,AD Russell,10,183,14
36,SS Iyer,8,175,5
37,DJ Hooda,12,160,9
38,SK Raina,12,160,9
39,R Tewatia,14,155,6
40,M Shahrukh Khan,11,153,10
41,SPD Smith,8,152,2
42,E Lewis,5,151,7
43,JJ Roy,5,150,1
44,AK Markram,6,146,4
45,KH Pandya,13,143,6
46,EJG Morgan,17,133,6
47,WP Saha,9,131,5
48,HH Pandya,12,127,5
49,DA Miller,9,124,3
